date,open,low,high,close,volume,base_currency,target_currency
2024-09-20 12:00:00,1.33044,1.33022,1.33315,1.33159,80272,GBP,USD
2024-09-20 08:00:00,1.32995,1.32679,1.33233,1.33044,104034,GBP,USD
2024-09-20 04:00:00,1.33123,1.32808,1.33168,1.32995,64238,GBP,USD
2024-09-20 00:00:00,1.32938,1.32868,1.33403,1.33123,62801,GBP,USD
2024-09-19 20:00:00,1.32811,1.32716,1.33015,1.32938,39136,GBP,USD
2024-09-19 16:00:00,1.32819,1.32763,1.32862,1.32811,18009,GBP,USD
2024-09-19 12:00:00,1.32788,1.32736,1.32893,1.32819,73338,GBP,USD
2024-09-19 08:00:00,1.32851,1.32193,1.32909,1.32788,119189,GBP,USD
2024-09-19 04:00:00,1.32469,1.3245,1.33142,1.32851,88166,GBP,USD
2024-09-19 00:00:00,1.32108,1.32005,1.32585,1.32469,64191,GBP,USD
2024-10-18 16:00:00,0.006685,0.0066753,0.00669,0.006686,207,JPY,USD
2024-10-18 12:00:00,0.0066837,0.00668,0.0066941,0.0066872,713,JPY,USD
2024-10-18 08:00:00,0.0066656,0.006661,0.0066874,0.0066845,720,JPY,USD
2024-10-18 04:00:00,0.006661,0.006658,0.0066813,0.0066651,716,JPY,USD
2024-10-18 00:00:00,0.00667,0.006659,0.0066761,0.0066618,717,JPY,USD
2024-10-17 20:00:00,0.00666,0.006659,0.0066717,0.0066706,714,JPY,USD
2024-10-17 16:00:00,0.0066561,0.0066514,0.0066624,0.0066602,661,JPY,USD
2024-10-17 12:00:00,0.0066602,0.006651,0.0066603,0.0066562,717,JPY,USD
2024-10-17 08:00:00,0.0066869,0.006658,0.0066888,0.0066607,719,JPY,USD
2024-10-17 04:00:00,0.006675,0.006671,0.0066885,0.0066875,717,JPY,USD
2024-10-17 00:00:00,0.006685,0.006674,0.0066928,0.0066763,716,JPY,USD
2024-10-16 20:00:00,0.0066858,0.006682,0.0066984,0.0066864,717,JPY,USD
2024-10-16 16:00:00,0.0066787,0.006674,0.006687,0.0066847,676,JPY,USD
2024-10-16 12:00:00,0.006678,0.006673,0.0066793,0.0066778,714,JPY,USD
2024-10-16 08:00:00,0.006702,0.006676,0.0067038,0.0066785,719,JPY,USD
2024-10-16 04:00:00,0.006689,0.006688,0.0067034,0.006703,719,JPY,USD
2024-10-16 00:00:00,0.0067035,0.006688,0.0067045,0.0066903,720,JPY,USD
2024-10-15 20:00:00,0.0067071,0.006696,0.0067137,0.0067023,720,JPY,USD
2024-10-15 16:00:00,0.0067,0.0066856,0.006707,0.006707,655,JPY,USD
2024-10-15 12:00:00,0.006699,0.006686,0.006703,0.0066998,718,JPY,USD
2024-10-15 08:00:00,0.0066935,0.006691,0.0067129,0.0067006,719,JPY,USD
2024-10-15 04:00:00,0.0066999,0.006693,0.0067172,0.006695,719,JPY,USD
2024-10-15 00:00:00,0.0066785,0.006676,0.0067029,0.0066996,712,JPY,USD
2024-10-14 20:00:00,0.006676,0.006676,0.0066906,0.0066787,714,JPY,USD
2024-10-14 16:00:00,0.006675,0.0066639,0.0066803,0.006678,671,JPY,USD
2024-10-14 12:00:00,0.0066736,0.006666,0.0066782,0.006676,714,JPY,USD
2024-10-14 08:00:00,0.0066817,0.006667,0.0066818,0.0066736,720,JPY,USD
2024-10-14 04:00:00,0.0066948,0.006677,0.0066958,0.0066821,718,JPY,USD
2024-10-14 00:00:00,0.006695,0.006692,0.0067029,0.0066943,707,JPY,USD
2024-10-13 20:00:00,0.006697,0.006694,0.0067037,0.0066959,712,JPY,USD
2024-10-11 16:00:00,0.00670479,0.00669,0.00670538,0.006701,202,JPY,USD
2024-10-11 12:00:00,0.0067055,0.0067038,0.00671258,0.0067039,713,JPY,USD
2024-10-11 08:00:00,0.0067114,0.00669,0.00671754,0.0067047,737,JPY,USD
2024-10-11 04:00:00,0.0067204,0.0067,0.00672604,0.00671118,720,JPY,USD
2024-10-11 00:00:00,0.0067246,0.00671,0.00672907,0.0067206,670,JPY,USD
2024-10-10 20:00:00,0.0067229,0.00671,0.00673768,0.0067237,733,JPY,USD
2024-10-10 16:00:00,0.0067323,0.006722,0.006737,0.0067236,675,JPY,USD
2024-10-10 12:00:00,0.0067297,0.006706,0.0067358,0.006729,717,JPY,USD
2024-10-10 08:00:00,0.0067133,0.0067048,0.0067381,0.006729,718,JPY,USD
2024-10-10 04:00:00,0.0067105,0.0067,0.00672,0.0067128,720,JPY,USD
2024-10-10 00:00:00,0.0066994,0.006686,0.0067141,0.0067098,714,JPY,USD
2024-10-09 20:00:00,0.0067035,0.006697,0.0067104,0.0067006,718,JPY,USD
2024-10-09 16:00:00,0.006696,0.006693,0.0067037,0.006702,664,JPY,USD
2024-10-09 12:00:00,0.0067017,0.006694,0.0067028,0.006695,716,JPY,USD
2024-10-09 08:00:00,0.0067236,0.006698,0.0067252,0.0067018,718,JPY,USD
2024-10-09 04:00:00,0.0067301,0.006722,0.006734,0.0067233,717,JPY,USD
2024-10-09 00:00:00,0.0067411,0.006726,0.0067433,0.0067315,716,JPY,USD
2024-10-08 20:00:00,0.0067484,0.006736,0.0067548,0.0067412,714,JPY,USD
2024-10-08 16:00:00,0.0067428,0.0067371,0.0067503,0.006748,676,JPY,USD
2024-10-08 12:00:00,0.0067453,0.006738,0.0067538,0.0067427,717,JPY,USD
2024-10-08 08:00:00,0.006762,0.006739,0.006762,0.0067457,717,JPY,USD
2024-10-08 04:00:00,0.0067741,0.006755,0.0067765,0.0067627,719,JPY,USD
2024-10-08 00:00:00,0.0067597,0.006748,0.006785,0.0067747,714,JPY,USD
2024-10-07 20:00:00,0.0067486,0.006747,0.0067765,0.006759,716,JPY,USD
2024-10-07 16:00:00,0.006752,0.0067399,0.0067696,0.0067498,665,JPY,USD
