,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,symbol
51,2024-10-09,163.45,164.84,159.74,161.86,161.86,31181800,31181800,-1.59,-0.97277,162.4725,"October 09, 24",-0.0097277,GOOGL
52,2024-10-08,163.94,164.73,162.87,164.38,164.38,23072733,23072733,0.44,0.26839,163.98,"October 08, 24",0.0026839,GOOGL
53,2024-10-07,167.72,168.48,162.75,162.98,162.98,22463140,22463140,-4.74,-2.83,165.4825,"October 07, 24",-0.0283,GOOGL
54,2024-10-04,168.06,168.23,165.48,167.06,167.06,19093724,19093724,-1.0,-0.59503,167.2075,"October 04, 24",-0.0059503,GOOGL
55,2024-10-03,164.41,166.64,163.92,165.86,165.86,15073101,15073101,1.45,0.88194,165.2075,"October 03, 24",0.0088194,GOOGL
56,2024-10-02,166.42,167.52,164.73,165.86,165.86,17760200,17760200,-0.56,-0.3365,166.1325,"October 02, 24",-0.003365,GOOGL
57,2024-10-01,167.69,169.16,164.58,166.99,166.99,28338123,28338123,-0.695,-0.41744,167.105,"October 01, 24",-0.0041744,GOOGL
58,2024-09-30,163.32,166.15,163.26,165.85,165.85,20481303,20481303,2.53,1.55,164.645,"September 30, 24",0.0155,GOOGL
59,2024-09-27,162.81,165.7,162.63,163.95,163.95,21101307,21101307,1.14,0.7002,163.7725,"September 27, 24",0.007002,GOOGL
60,2024-09-26,163.64,164.08,162.28,162.73,162.73,20319336,20319336,-0.91,-0.5561,163.1825,"September 26, 24",-0.005561,GOOGL
61,2024-09-25,161.47,162.81,161.3,161.49,161.49,18869200,18869200,0.02,0.0123862,161.7675,"September 25, 24",0.000123862,GOOGL
62,2024-09-24,163.03,163.22,160.69,162.29,162.29,23332147,23332147,-0.74,-0.4539,162.3075,"September 24, 24",-0.004539,GOOGL
63,2024-09-23,164.35,165.49,161.67,161.85,161.85,24150900,24150900,-2.5,-1.52,163.34,"September 23, 24",-0.0152,GOOGL
64,2024-09-20,163.5,163.73,162.06,163.59,163.59,40896438,40896438,0.09,0.05504587,163.22,"September 20, 24",0.0005504587,GOOGL
65,2024-09-19,163.71,163.79,161.34,162.14,162.14,26587733,26587733,-1.57,-0.95901,162.745,"September 19, 24",-0.0095901,GOOGL
66,2024-10-18,187.15,190.74,186.28,188.99,188.99,36566996,36566996,1.84,0.98317,188.29,"October 18, 24",0.0098317,AMZN
67,2024-10-17,188.22,188.94,186.0,187.53,187.53,25039414,25039414,-0.69,-0.36659,187.6725,"October 17, 24",-0.0036659,AMZN
68,2024-10-16,187.05,187.78,185.61,186.89,186.89,23456812,23456812,-0.16,-0.08553863,186.8325,"October 16, 24",-0.0008553863,AMZN
69,2024-10-15,187.63,188.41,184.58,187.69,187.69,32178925,32178925,0.06,0.03197783,187.0775,"October 15, 24",0.0003197783,AMZN
70,2024-10-14,189.78,189.83,187.36,187.54,187.54,22614407,22614407,-2.24,-1.18,188.6275,"October 14, 24",-0.0118,AMZN
71,2024-10-11,186.63,189.93,186.3,188.82,188.82,25751600,25751600,2.19,1.17,187.92,"October 11, 24",0.0117,AMZN
72,2024-10-10,187.13,188.13,185.83,186.65,186.65,27785043,27785043,-0.48,-0.25651,186.935,"October 10, 24",-0.0025651,AMZN
73,2024-10-09,182.82,185.85,182.05,185.17,185.17,26343117,26343117,2.35,1.29,183.9725,"October 09, 24",0.0129,AMZN
74,2024-10-08,181.92,183.09,180.92,182.72,182.72,26372100,26372100,0.805,0.43975,182.1625,"October 08, 24",0.0043975,AMZN
75,2024-10-07,182.95,183.6,180.25,180.8,180.8,42364201,42364201,-2.15,-1.18,181.9,"October 07, 24",-0.0118,AMZN
76,2024-10-04,185.75,187.6,183.6,186.51,186.51,41079011,41079011,0.76,0.40915,185.865,"October 04, 24",0.0040915,AMZN
77,2024-10-03,183.05,183.44,180.88,181.96,181.96,30204302,30204302,-1.08,-0.59547,182.3325,"October 03, 24",-0.0059547,AMZN
78,2024-10-02,184.44,186.6,184.04,184.76,184.76,23704100,23704100,0.32,0.1735,184.96,"October 02, 24",0.001735,AMZN
79,2024-10-01,184.9,186.19,183.45,185.13,185.13,36044906,36044906,0.23,0.12439,184.9175,"October 01, 24",0.0012439,AMZN
80,2024-09-30,187.14,188.49,184.65,186.33,186.33,41680400,41680400,-0.81,-0.43283,186.6525,"September 30, 24",-0.0043283,AMZN
81,2024-09-27,190.68,190.9,187.34,187.97,187.97,36002316,36002316,-2.71,-1.42,189.2225,"September 27, 24",-0.0142,AMZN
82,2024-09-26,194.31,194.53,189.54,191.16,191.16,36334900,36334900,-3.15,-1.62,192.385,"September 26, 24",-0.0162,AMZN
83,2024-09-25,193.75,193.95,192.16,192.53,192.53,26391144,26391144,-1.22,-0.62968,193.0975,"September 25, 24",-0.0062968,AMZN
84,2024-09-24,194.27,195.37,190.13,193.96,193.96,43478926,43478926,-0.31,-0.15957,193.4325,"September 24, 24",-0.0015957,AMZN
85,2024-09-23,191.64,194.45,190.57,193.88,193.88,36993111,36993111,2.24,1.17,192.635,"September 23, 24",0.0117,AMZN
86,2024-09-20,190.23,191.84,187.41,191.6,191.6,100378600,100378600,1.37,0.72018,190.27,"September 20, 24",0.0072018,AMZN
87,2024-09-19,190.04,190.99,188.47,189.87,189.87,39543200,39543200,-0.17,-0.08945485,189.8425,"September 19, 24",-0.0008945485,AMZN
88,2024-10-18,220.71,222.28,219.23,220.7,220.7,49126022,49126022,-0.01,-0.00453083,220.73,"October 18, 24",-4.53083e-05,TSLA
89,2024-10-17,221.59,222.08,217.9,220.89,220.89,50791784,50791784,-0.7,-0.3159,220.615,"October 17, 24",-0.003159,TSLA
90,2024-10-16,221.4,222.82,218.93,221.33,221.33,49632824,49632824,-0.07,-0.03161698,221.12,"October 16, 24",-0.0003161698,TSLA
91,2024-10-15,220.01,224.26,217.12,219.57,219.57,62988800,62988800,-0.44,-0.19999,220.24,"October 15, 24",-0.0019999,TSLA
92,2024-10-14,220.13,221.91,213.74,219.16,219.16,86291923,86291923,-0.97,-0.44065,218.735,"October 14, 24",-0.0044065,TSLA
93,2024-10-11,220.13,223.34,214.38,217.8,217.8,142628900,142628900,-2.33,-1.06,218.9125,"October 11, 24",-0.0106,TSLA
94,2024-10-10,241.81,242.79,232.34,238.77,238.77,83087100,83087100,-3.04,-1.26,238.9275,"October 10, 24",-0.0126,TSLA
95,2024-10-09,243.82,247.43,239.51,241.05,241.05,66289529,66289529,-2.77,-1.14,242.9525,"October 09, 24",-0.0114,TSLA
96,2024-10-08,243.56,246.21,240.56,244.5,244.5,56303200,56303200,0.94,0.38594,243.7075,"October 08, 24",0.0038594,TSLA
97,2024-10-07,249.0,249.83,240.7,240.83,240.83,68113300,68113300,-8.17,-3.28,245.09,"October 07, 24",-0.0328,TSLA
98,2024-10-04,246.69,250.96,244.58,250.08,250.08,86726285,86726285,3.39,1.37,248.0775,"October 04, 24",0.0137,TSLA
99,2024-10-03,244.48,249.79,237.81,240.66,240.66,80729240,80729240,-3.82,-1.56,243.185,"October 03, 24",-0.0156,TSLA
100,2024-10-02,247.55,251.16,241.5,249.02,249.02,93983930,93983930,1.47,0.59382,247.3075,"October 02, 24",0.0059382,TSLA
101,2024-10-01,262.67,263.98,248.53,258.02,258.02,87397613,87397613,-4.65,-1.77,258.3,"October 01, 24",-0.0177,TSLA
102,2024-09-30,259.04,264.86,255.77,261.63,261.63,80873381,80873381,2.59,0.99985,260.325,"September 30, 24",0.0099985,TSLA
103,2024-09-27,257.38,260.7,254.12,260.46,260.46,70988100,70988100,3.08,1.2,258.165,"September 27, 24",0.012,TSLA
104,2024-09-26,260.6,261.75,251.53,254.22,254.22,67142200,67142200,-6.38,-2.45,257.025,"September 26, 24",-0.0245,TSLA
105,2024-09-25,252.54,257.05,252.28,257.02,257.02,65034318,65034318,4.48,1.77,254.7225,"September 25, 24",0.0177,TSLA
106,2024-09-24,254.08,257.19,249.05,254.27,254.27,88491000,88491000,0.19,0.0747796,253.6475,"September 24, 24",0.000747796,TSLA
107,2024-09-23,242.61,250.0,241.92,250.0,250.0,86927200,86927200,7.39,3.05,246.1325,"September 23, 24",0.0305,TSLA
108,2024-09-20,241.52,243.99,235.92,238.25,238.25,99879100,99879100,-3.27,-1.35,239.92,"September 20, 24",-0.0135,TSLA
109,2024-09-19,234.0,244.24,232.13,243.92,243.92,102694600,102694600,9.92,4.24,238.5725,"September 19, 24",0.0424,TSLA
